country,location_code,iso_code,lang_code
argentina,2032,AR,es
australia,2036,AU,en
austria,2040,AT,de
belgium,2056,BE,nl
brazil,2076,BR,pt
canada,2124,CA,en
chile,2152,CL,es
colombia,2170,CO,es
czech_republic,2203,CZ,cs
denmark,2208,DK,da
egypt,2818,EG,ar
finland,2246,FI,fi
france,2250,FR,fr
germany,2276,DE,de
greece,2300,GR,el
hong_kong,2344,HK,zh
hungary,2348,HU,hu
india,2356,IN,en
indonesia,2360,ID,id
ireland,2372,IE,en
israel,2376,IL,he
italy,2380,IT,it
japan,2392,JP,ja
kenya,2404,KE,sw
malaysia,2458,MY,ms
mexico,2484,MX,es
netherlands,2528,NL,nl
new_zealand,2554,NZ,en
nigeria,2566,NG,en
norway,2578,NO,nb
philippines,2608,PH,en
poland,2616,PL,pl
portugal,2620,PT,pt
romania,2642,RO,ro
russia,2643,RU,ru
saudi_arabia,2682,SA,ar
singapore,2702,SG,zh
south_africa,2710,ZA,en
south_korea,2410,KR,ko
sweden,2752,SE,sv
switzerland,2756,CH,de
taiwan,2158,TW,zh
thailand,2764,TH,th
turkey,2792,TR,tr
ukraine,2804,UA,uk
united_kingdom,2826,GB,en
united_states,2840,US,en
vietnam,2704,VN,vi
