country,source,author,title,description,url,urlToImage,publishedAt,content,date,sentiment,domain,is_green
au,"{'id': 'news-com-au', 'name': 'News.com.au'}","Francesca Bacardi, NY Post",13 Reasons Why star Tommy Dorfman comes out as transgender - NEWS.com.au,13 Reasons Why star Tommy Dorfman comes out as transgender,https://www.news.com.au/entertainment/celebrity-life/13-reasons-why-star-tommy-dorfman-comes-out-as-transgender/news-story/c7b99dfa3887e6a9510f646b0231b3f7,https://cdn.newsapi.com.au/image/v1/fb382fc0e1e297b53ef4ee4eb30ce838?width=1280,2021-07-22T20:07:49Z,"Netflix rising star Tommy Dorfman has come out as transgender.The 13 Reasons Why star shared in a new interview with Time magazine that she has been living as a woman for almost a year, and uses she/… [+2268 chars]",2021-07-22 14:58:52.519894,0.0,www.news.com.au,0
au,"{'id': 'news-com-au', 'name': 'News.com.au'}",James Matthey,Olympics expose Australia’s biggest Covid-19 shame after Annastacia Palaszczuk quip - NEWS.com.au,Olympics expose Australia’s biggest Covid-19 shame after Annastacia Palaszczuk quip,https://www.news.com.au/sport/olympics/olympics-expose-australias-biggest-covid19-shame-after-annastacia-palaszczuk-quip/news-story/77c6f3e824503630c437f2cc3bfc1d65,https://cdn.newsapi.com.au/image/v1/e1d8345f308c4ce6a6f5ca890c5f33d9?width=1280,2021-07-22T19:57:04Z,"James Tomkins put it best this week.
“It’s like I’m sat at the start line waiting for a race. You want to have absolutely every base covered,” the three-time Olympic gold medallist said.
“You don’t… [+5490 chars]",2021-07-22 14:58:52.519894,0.0,www.news.com.au,0
au,"{'id': None, 'name': 'Fox Sports'}",Jacob Polychronis,BREAKING: Second ODI SUSPENDED as Covid chaos strikes minutes from first ball - Fox Sports,Second ODI SUSPENDED as Covid chaos strikes minutes from first ball,https://www.foxsports.com.au/cricket/australia/second-odi-live-aussies-out-to-seal-windies-series-but-skipper-finch-still-in-doubt/news-story/8ee1fa62828ec54819ef63036cee4169,https://content.api.news/v3/images/bin/6c28dee258de1b10162d1c40232758e8,2021-07-22T19:52:30Z,"The second ODI between Australia and the West Indies was suspended at the last minute on Friday morning due to a positive COVID-19 case. 
News of a positive test came just moments away from the firs… [+1693 chars]",2021-07-22 14:58:52.519894,-0.9229786694049835,www.foxsports.com.au,0
au,"{'id': None, 'name': '9News'}",Natalie Oliveri,COVID-19 scare hits Victorian aged care home putting facility on high alert - 9News,"<p>The resident returned to the facility from hospital when it was feared they may have COVID-19, putting everyone on notice and sending the home into lockdown.</p>",https://www.9news.com.au/national/coronavirus-victoria-update-latest-covid-19-numbers--aged-care-scare-july-23/511b145f-3374-4bec-ad29-af02fc607a3b,https://imageresizer.static9.net.au/twsyW2CLzAANa30iOmW8blG402c=/1200x628/smart/https%3A%2F%2Fprod.static9.net.au%2Ffs%2Fee6c526b-1bb7-40a5-929b-f5396bd28dc1,2021-07-22T19:51:08Z,Property News: Is your home affecting your mental health? - domain.com.au,2021-07-22 14:58:52.519894,-0.4723059833049774,www.9news.com.au,0
au,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Michelle Grattan,Scott Morrison's attempt to influence ATAGI advice on AstraZeneca vaccine is misguided - ABC News,"Scott Morrison this week more or less trashed Australia's top advisory body on immunisation, in remarks that were at best ill-judged and at worst alarming, writes Michelle Grattan.",https://www.abc.net.au/news/2021-07-23/scott-morrison-atagi-vaccine-advice-astrazeneca/100316092,https://live-production.wcms.abc-cdn.net.au/a58fa067e69dcaddf4c711987e49ab8d?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=74&width=862&height=485,2021-07-22T19:09:00Z,"Scott Morrison this week more or less trashed Australia's top advisory body on immunisation, in remarks that were at best ill-judged and at worst alarming.
On Wednesday Morrison told a news conferen… [+7624 chars]",2021-07-22 14:58:52.519894,-0.49983710050582886,www.abc.net.au,0
au,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Tasha Wibawa,Indonesia is the new epicentre of the COVID pandemic as the Delta variant surges and vaccination rates lag - ABC News,"Indonesia is the new epicentre of the COVID-19 pandemic, overtaking India despite only having a fraction of the population.",https://www.abc.net.au/news/2021-07-23/indonesia-covid-19-coronavirus-epicentre-lockdown-delta-variant-/100310858,https://live-production.wcms.abc-cdn.net.au/e5bcbf1149b734a0400a10b8d5282250?impolicy=wcms_crop_resize&cropH=2813&cropW=5000&xPos=0&yPos=271&width=862&height=485,2021-07-22T18:46:55Z,"A COVID-19 crisis has unfolded as the highly transmissible Delta variant tears through Indonesia, where health facilities have buckled under the pressure.
Cases in the fourth-most populous nation in… [+7640 chars]",2021-07-22 14:58:52.519894,0.0041948594093322855,www.abc.net.au,0
au,"{'id': None, 'name': 'GamesRadar+'}",GamesRadar Staff,EA Play 2021 - Everything announced at this year's showcase - Gamesradar,"Missed the EA Play 2021 stream or just need a recap? Fear not, here's everything we saw",https://www.gamesradar.com/ea-play-2021-everything-announced-at-this-years-showcase/,https://cdn.mos.cms.futurecdn.net/QsBnzqPYMy9dtFMSPT35Cn-1200-80.jpg,2021-07-22T18:30:47Z,"EA Play 2021 has arrived, delivering new game announcements over a month after all the E3 2021 reveals. The headlines are a new Grid game called Grid Legends, along with the highly anticipated Dead S… [+3444 chars]",2021-07-22 14:58:52.519894,0.0,www.gamesradar.com,1
au,"{'id': None, 'name': 'The Guardian'}",,Sulphur-crested cockatoos learn to open wheelie bins in Sydney – video - The Guardian,"Cockatoos are mastering the art of bin-diving, learning the technique from each other, according to new research",https://www.theguardian.com/environment/video/2021/jul/23/sulphur-crested-cockatoos-learn-to-open-wheelie-bins-in-sydney-video,https://i.guim.co.uk/img/media/309d422e65d25f8cfd69d6ab73c4f3b888507587/0_18_1381_829/master/1381.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=69aab67bd065b795e343be7103af6356,2021-07-22T18:00:52Z,"Sulphur-crested cockatoos are learning to pry open bins, with researchers finding the new skill has caught on in 44 Sydney suburbs in just two years. With help from the public, Australian and German … [+434 chars]",2021-07-22 14:58:52.519894,0.026313229513168335,www.theguardian.com,0
au,"{'id': 'polygon', 'name': 'Polygon'}",Ana Diaz,Horizon Zero Dawn’s Aloy is coming to Genshin Impact - Polygon,"Aloy from the Horizon Zero Dawn is coming to Genshin Impact, miHoYo and Guerrilla Games announced. that the hunter would be joining the game as a free, playable character as she comes to Genshin and the land of Teyvat.",https://www.polygon.com/22588514/genshin-impact-horizon-zero-dawn-aloy-playstation-free,https://cdn.vox-cdn.com/thumbor/rJHLI2kR6FepwzJJ1s-mVZn6qY0=/528x299:2222x1186/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22733031/crop.jpg,2021-07-22T14:50:58Z,"Aloy from Horizon Zero Dawn is coming to Genshin Impact. MiHoYo and Guerrilla Games announced Thursday that the machine hunter would be joining the game as a free playable character.
Aloy is the pro… [+1710 chars]",2021-07-22 14:58:52.519894,-0.3233572443326314,www.polygon.com,0
au,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",ABC News,"WHO's plan to probe Wuhan lab leak theory 'impossible' for China to accept, says Chinese health official - ABC News","A senior Chinese health official says it is ""impossible"" for China to accept the World Health Organization's plan for the second phase of a study into the origins of COVID-19.",https://www.abc.net.au/news/2021-07-23/china-rejects-who-plan-investigate-wuhan-coronavirus-lab-leak/100316524,https://live-production.wcms.abc-cdn.net.au/7897c265a9503d9bb143499f35c8d7f6?impolicy=wcms_crop_resize&cropH=2084&cropW=3705&xPos=0&yPos=194&width=862&height=485,2021-07-22T14:23:07Z,"A senior Chinese health official has firmly rejected the World Health Organization's plan for the second phase of a study into the origins of COVID-19.
Key points:
<ul><li>Beijing called the press … [+5059 chars]",2021-07-22 14:58:52.519894,-0.9973550140857697,www.abc.net.au,0
