article,project,views_ceil,rank,country,date,article_clean,query,summary,sentiment
UEFA_Euro_2020,en.wikipedia,1600,2,al,2021-06-28 18:27:44.725419,uefa_euro_2020,UEFA Euro 2020,"The 2020 UEFA European Football Championship, commonly referred to as UEFA Euro 2020, or simply Euro 2020, is the 16th UEFA European Championship, the quadrennial international men's football championship of Europe organised by the Union of European Football Associations (UEFA).The tournament, being held in 11 cities in 11 UEFA countries, was originally scheduled from 12 June to 12 July 2020, but was postponed due to the COVID-19 pandemic in Europe and rescheduled for 11 June to 11 July 2021. It retains the name UEFA Euro 2020. Portugal were the defending champions, having won the 2016 competition in France, but were eliminated in the round of 16 against Belgium. The video assistant referee (VAR) system makes its debut at the European Championship in this tournament.UEFA President Michel Platini said in 2012 that the tournament was to be hosted in several nations as a ""romantic"" one-off event to celebrate the 60th ""birthday"" of the European Championship competition. Having the largest capacity of any of the stadiums entered for the competition, Wembley Stadium in London is scheduled to host the semi-finals and final for the second time, having done so before at the 1996 tournament in the stadium's former incarnation. The Stadio Olimpico in Rome was chosen to host the opening game, involving Turkey and hosts Italy. Originally to be played at 13 venues, two hosts were later removed: Brussels in December 2017 due to the abandonment of building the Eurostadium, and Dublin in April 2021 as there was no guarantee that spectators could attend. Spain also changed their host city from Bilbao to Seville to allow an audience at matches.",-0.7214534282684326
الصفحة_الرئيسية,ar.wikipedia,12600,1,dz,2021-06-28 18:27:44.725419,lsfh@_lry'ysy@,Country code top-level domain,"A country code top-level domain (ccTLD) is an Internet top-level domain generally used or reserved for a country, sovereign state, or dependent territory identified with a country code. All ASCII ccTLD identifiers are two letters long, and all two-letter top-level domains are ccTLDs.
In 2018, the Internet Assigned Numbers Authority (IANA) began implementing internationalized country code top-level domains, consisting of language-native characters when displayed in an end-user application. Creation and delegation of ccTLDs is described in RFC 1591, corresponding to ISO 3166-1 alpha-2 country codes. While gTLDs have to obey international regulations, ccTLDs are subjected to requirements that are determined by each country’s domain name regulation corporation. With over 150 million domain name registrations today, ccTLDs make up 40% of the total domain name industry. Country code extension applications began in 1985. The registered first extensions that year were .us (United States), .uk (United Kingdom), and .il (Israel). There are 308 delegated ccTLDs. The .cn, .tk, .de and .uk ccTLDs contain the highest number of domains. The top ten ccTLDs account for 64.3% of registered ccTLD domains and there were 156.5 million ccTLD domains registered at the end of March 2021.",-0.9671782851219177
خاص:بحث,ar.wikipedia,4200,3,dz,2021-06-28 18:27:44.725419,khs:bhth,The Twins (1930 novel),The Twins or Al-Tawa’aman is a novel by Abd Al Quddus Al Ansari. It was published in Damascus in 1350 AH (1930 CE) and was the first novel in the modern Saudi literature. It was stated in the novel’s cover that it is the “First Novel in the Hijaz” because it was published during the dual monarchy period of the Hijaz and Najd. The Twins is considered to have initiated the art of fiction in Saudi Arabia.,0.9984584450721741
تصنيف_فيفا_العالمي,ar.wikipedia,2500,6,dz,2021-06-28 18:27:44.725419,tsnyf_fyf_l`lmy,,,
شبيبة_القبائل,ar.wikipedia,2100,7,dz,2021-06-28 18:27:44.725419,shbyb@_lqby'l,List of Zamalek SC Honours,"Zamalek Club Championships list displays all Zamalek SC trophies and achievements in football since its inception on January 5, 1911, under the name of Qasr El Nil Club at the hands of the Belgian George Merzbach. Zamalek is a professional Egyptian sports club that plays in the Egyptian League, and it is one of seven clubs that have not been relegated to the second division. Zamalek is one of the most successful clubs in the history of Egyptian football in terms of the number of local championships, as it has won twelve league titles, twenty-seven titles in the Egypt Cup, four titles in the Super Cup, fourteen titles in the Cairo District League and two titles in the Sultan Hussein Cup. It is also one of the most successful clubs in the history of African football at the level of African championships, as it has achieved thirteen African continental titles by winning the African Champions League five times, four times in the African Super Cup, once in the African Confederation Cup, and once in the African Cup Winners' Cup, in addition to winning Twice Afro-Asian Cup. At the Arab level, he won the Arab Club Champions Cup once and the Egyptian Saudi Super Cup twice. The Zamalek football team is the most victorious African Champions League in the twentieth century, and the most continental championship win in the twentieth century, with 9 tournaments. The football team in Zamalek also won the title of the best club in the world according to the International Federation of Football History and Statistics (IFFHS) in February 2003.
The list includes all the achievements of the Zamalek club throughout its history and with the various names of the club from the mixed club (1913-1941) to Farouk I Club (1941-1952), where it was known before the July 23 revolution, and even its current name, which was changed to it after the revolution.
Surnames under the name:
Mixed club (1913–1941)
Farouk Club (1941–1952)
Zamalek club (1952–present).",0.9997355341911316
María_Becerra,en.wikipedia,29700,1,ar,2021-06-28 18:27:44.725419,maria_becerra,María Becerra,"María de los Ángeles Becerra (born 12 February 2000), known professionally as María Becerra, is an Argentine singer and former YouTuber. She has been dubbed as ""a leading voice in Argentina's urban pop movement"".

",0.9988635182380676
Willy_Crook,es.wikipedia,11700,4,ar,2021-06-28 18:27:44.725419,willy_crook,Patricio Rey y sus Redonditos de Ricota,"Patricio Rey y sus Redonditos de Ricota, also known simply as Patricio Rey, Los Redondos or Los Redonditos de Ricota, was a rock band formed in La Plata, Argentina. The group was active from the mid 70s up to the early 2000s. They are known for shaping Argentinian rock and their enormous fan base.

",0.9995129108428955
Manuel_Belgrano,es.wikipedia,9300,5,ar,2021-06-28 18:27:44.725419,manuel_belgrano,Manuel Belgrano,"Manuel José Joaquín del Corazón de Jesús Belgrano y González (3 June 1770 – 20 June 1820), usually referred to as Manuel Belgrano (Spanish pronunciation: [mãˈnwel βelˈɣɾano]), was an Argentine economist, lawyer, politician, journalist, and military leader. He took part in the Argentine Wars of Independence and created the Flag of Argentina. He is regarded as one of the main Libertadores of the country.
Belgrano was born in Buenos Aires, the fourth child of Italian businessman Domingo Belgrano y Peri and María Josefa González Casero. He came into contact with the ideas of the Age of Enlightenment while at university in Spain around the time of the French Revolution. Upon his return to the Viceroyalty of the Río de la Plata, where he became a notable member of the criollo population of Buenos Aires, he tried to promote some of the new political and economic ideals, but found severe resistance from local peninsulars. This rejection led him to work towards a greater autonomy for his country from the Spanish colonial regime. At first, he unsuccessfully promoted the aspirations of Carlota Joaquina to become a regent ruler for the Viceroyalty during the period the Spanish King Ferdinand VII was imprisoned during the Peninsular War (1807–1814). He favoured the May Revolution, which removed the viceroy Baltasar Hidalgo de Cisneros from power on 25 May 1810. He was elected as a voting member of the Primera Junta that took power after the ouster.
As a delegate for the Junta, he led the ill-fated Paraguay campaign. His troops were defeated by Bernardo de Velasco at the battles of Campichuelo and Paraguarí. Though he was defeated, the campaign initiated the chain of events that led to the Independence of Paraguay in May 1811. He retreated to the vicinity of Rosario, to fortify it against a possible royalist attack from the Eastern Band of the Uruguay River. While there, he created the flag of Argentina. The First Triumvirate did not approve the flag, but because of slow communications, Belgrano would only learn of that many weeks later, while reinforcing the Army of the North at Jujuy. There, knowing he was at a strategic disadvantage against the royalist armies coming from Upper Peru, Belgrano ordered the Jujuy Exodus, which evacuated the entire population of Jujuy Province to San Miguel de Tucumán. His counter-offensive at the Battle of Tucumán resulted in a key strategic victory, and it was soon followed by a complete victory over the royalist army of Pío Tristán at the Battle of Salta. However, his deeper incursions into Upper Perú led to defeats at Vilcapugio and Ayohuma, leading the Second Triumvirate to order his replacement as Commander of the Army of the North by the newly arrived José de San Martín. By then, the Asamblea del Año XIII had approved the use of Belgrano's flag as the national war flag.
Belgrano then went on a diplomatic mission to Europe along with Bernardino Rivadavia to seek support for the revolutionary government. He returned in time to take part in the Congress of Tucumán, which declared Argentine Independence (1816). He promoted the Inca plan to create a constitutional monarchy with an Inca descendant as Head of State. This proposal had the support of San Martín, Martín Miguel de Güemes, and many provincial delegates, but was strongly rejected by the delegates from Buenos Aires. The Congress of Tucumán approved the use of his flag as the national flag. After this, Belgrano again took command of the Army of the North, but his mission was limited to protecting San Miguel de Tucumán from royalist advances while San Martín prepared the Army of the Andes for an alternative offensive across the Andes. When Buenos Aires was about to be invaded by José Gervasio Artigas and Estanislao López, he moved the Army southwards, but his troops mutinied in January 1820. Belgrano died of dropsy on 20 June 1820. His last words reportedly were: ""¡Ay, Patria mía!"" (Oh, my country!).",
Cleopatra,es.wikipedia,8500,6,ar,2021-06-28 18:27:44.725419,cleopatra,Cleopatra,"Cleopatra VII Philopator (Koinē Greek: Κλεοπάτρα Φιλοπάτωρ; 69 BC – 10 August 30 BC) was the last active ruler of the Ptolemaic Kingdom of Egypt. A member of the Ptolemaic dynasty, she was a descendant of its founder Ptolemy I Soter, a Macedonian Greek general and companion of Alexander the Great. After the death of Cleopatra, Egypt became a province of the Roman Empire, marking the end of the second to last Hellenistic state and the age that had lasted since the reign of Alexander (336–323 BC). Her native language was Koine Greek, and she was the only Ptolemaic ruler to learn the Egyptian language.In 58 BC, Cleopatra presumably accompanied her father, Ptolemy XII Auletes, during his exile to Rome after a revolt in Egypt (a Roman client state) allowing his daughter Berenice IV to claim the throne. Berenice was killed in 55 BC when Ptolemy returned to Egypt with Roman military assistance. When he died in 51 BC, the joint reign of Cleopatra and her brother Ptolemy XIII began, but a falling-out between them led to open civil war. After losing the 48 BC Battle of Pharsalus in Greece against his rival Julius Caesar (a Roman dictator and consul) in Caesar's Civil War, the Roman statesman Pompey fled to Egypt. Pompey had been a political ally of Ptolemy XII, but Ptolemy XIII, at the urging of his court eunuchs, had Pompey ambushed and killed before Caesar arrived and occupied Alexandria. Caesar then attempted to reconcile the rival Ptolemaic siblings, but Ptolemy's chief adviser, Potheinos, viewed Caesar's terms as favoring Cleopatra, so his forces besieged her and Caesar at the palace. Shortly after the siege was lifted by reinforcements, Ptolemy XIII died in the 47 BC Battle of the Nile; Cleopatra's half-sister Arsinoe IV was eventually exiled to Ephesus for her role in carrying out the siege. Caesar declared Cleopatra and her brother Ptolemy XIV joint rulers but maintained a private affair with Cleopatra that produced a son, Caesarion. Cleopatra traveled to Rome as a client queen in 46 and 44 BC, where she stayed at Caesar's villa. After the assassinations of Caesar and (on her orders) Ptolemy XIV in 44 BC, she named Caesarion co-ruler.
In the Liberators' civil war of 43–42 BC, Cleopatra sided with the Roman Second Triumvirate formed by Caesar's grandnephew and heir Octavian, Mark Antony, and Marcus Aemilius Lepidus. After their meeting at Tarsos in 41 BC, the queen had an affair with Antony. He carried out the execution of Arsinoe at her request, and became increasingly reliant on Cleopatra for both funding and military aid during his invasions of the Parthian Empire and the Kingdom of Armenia. The Donations of Alexandria declared their children Alexander Helios, Cleopatra Selene II, and Ptolemy Philadelphus rulers over various erstwhile territories under Antony's triumviral authority. This event, their marriage, and Antony's divorce of Octavian's sister Octavia Minor led to the Final War of the Roman Republic. Octavian engaged in a war of propaganda, forced Antony's allies in the Roman Senate to flee Rome in 32 BC, and declared war on Cleopatra. After defeating Antony and Cleopatra's naval fleet at the 31 BC Battle of Actium, Octavian's forces invaded Egypt in 30 BC and defeated Antony, leading to Antony's suicide. When Cleopatra learned that Octavian planned to bring her to his Roman triumphal procession, she killed herself by poisoning, contrary to the popular belief that she was bitten by an asp.
Cleopatra's legacy survives in ancient and modern works of art. Roman historiography and Latin poetry produced a generally critical view of the queen that pervaded later Medieval and Renaissance literature. In the visual arts, her ancient depictions include Roman busts, paintings, and sculptures, cameo carvings and glass, Ptolemaic and Roman coinage, and reliefs. In Renaissance and Baroque art, she was the subject of many works including operas, paintings, poetry, sculptures, and theatrical dramas. She has become a pop culture icon of Egyptomania since the Victorian era, and in modern times, Cleopatra has appeared in the applied and fine arts, burlesque satire, Hollywood films, and brand images for commercial products.",
Mario_Pájaro_Gómez,es.wikipedia,8000,7,ar,2021-06-28 18:27:44.725419,mario_pajaro_gomez,List of Graduados characters,Graduados (Spanish: The Graduates) is a 2012 Argentine TV series.,0.9793338179588318
